ID,Site,Impact,Date,Size_mm
4029,CDM_far,Low,2020-10-15,42
4030,CDM_far,Low,2020-10-15,43
4031,CDM_far,Low,2020-10-15,44
4032,CDM_far,Low,2020-10-15,44
4033,CDM_far,Low,2020-10-15,45
4034,CDM_far,Low,2020-10-15,45
4035,CDM_far,Low,2020-10-15,45
4036,CDM_far,Low,2020-10-15,45
4037,CDM_far,Low,2020-10-15,46
4038,CDM_far,Low,2020-10-15,46
4039,CDM_far,Low,2020-10-15,46
4040,CDM_far,Low,2020-10-15,46
4041,CDM_far,Low,2020-10-15,46
4042,CDM_far,Low,2020-10-15,47
4043,CDM_far,Low,2020-10-15,47
4044,CDM_far,Low,2020-10-15,47
4045,CDM_far,Low,2020-10-15,47
4046,CDM_far,Low,2020-10-15,47
4047,CDM_far,Low,2020-10-15,48
4048,CDM_far,Low,2020-10-15,49
4049,CDM_far,Low,2020-10-15,49
4050,CDM_far,Low,2020-10-15,50
4051,CDM_far,Low,2020-10-15,50
4052,CDM_far,Low,2020-10-15,50
4053,CDM_far,Low,2020-10-15,51
4054,CDM_far,Low,2020-10-15,52
4055,CDM_far,Low,2020-10-15,53
4056,CDM_far,Low,2020-10-15,54
